',Incidents,Civilians,Security Force Personnel,Terrorists,Total
1988,390,29,1,1,31
1989,2154,79,13,0,92
1990,3905,862,132,183,1177
1991,3122,594,185,614,1393
1992,4971,859,177,873,1909
1993,4457,1023,216,1328,2567
1994,4484,1012,236,1651,2899
1995,4479,1161,297,1338,2796
1996,4224,1333,376,1194,2903
1997,3004,840,355,1177,2372
1998,2993,877,339,1045,2261
1999,2938,799,555,1184,2538
2000,2835,842,638,1808,3288
2001,3278,1067,590,2850,4507
2002,NA,839,469,1714,3022
2003,NA,658,338,1546,2542
2004,NA,534,325,951,1810
2005,NA,521,218,1000,1739
2006,NA,349,168,599,1116
2007,NA,164,121,492,777
2008,NA,69,90,382,541
2009,NA,55,78,242,375
2010,NA,36,69,270,375
2011,NA,34,30,119,183
2012,NA,16,17,84,117
2013,NA,20,61,100,181
2014,NA,32,51,110,193
2015,NA,20,41,113,174
2016,NA,14,88,165,267
2017,NA,57,83,218,358
2018,NA,86,95,270,451
2019,NA,40,78,158,276
Total*,47234,14921,6530,23779,45230
